ID,Gene.symbol,Gene.title,log2_fold_change,.-log10(Pvalue)(Infiltrating ductal carcinoma vs Normal),adj.P.Val
202942_at,ETFB,electron transfer flavoprotein beta subunit,-1.495,4.901,0.000698
202949_s_at,FHL2,four and a half LIM domains 2,0.618,2.936,0.0218
202956_at,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,0.759,4.572,0.00125
202963_at,RFX5,regulatory factor X5,1.147,6.185,0.0000696
202969_at,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2,0.51,2.65,0.0163
202971_s_at,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2,0.691,3.108,0.0163
202973_x_at,FAM13A,family with sequence similarity 13 member A,-0.743,3.468,0.000553
202975_s_at,RHOBTB3,Rho related BTB domain containing 3,-0.636,2.731,0.00179
202976_s_at,RHOBTB3,Rho related BTB domain containing 3,-0.786,4.373,0.00179
202982_s_at,ACOT1///ACOT2,acyl-CoA thioesterase 1///acyl-CoA thioesterase 2,-1.673,5.149,0.000461
202988_s_at,RGS1,regulator of G-protein signaling 1,2.573,12.965,4.03E-10
202990_at,PYGL,"phosphorylase, glycogen, liver",-0.719,3.612,0.00687
203002_at,AMOTL2,angiomotin like 2,-0.648,3.998,0.00352
203007_x_at,LYPLA1,lysophospholipase I,0.509,3.031,0.018
203011_at,IMPA1,inositol monophosphatase 1,0.448,2.485,0.0452
203026_at,ZBTB5,zinc finger and BTB domain containing 5,0.346,2.517,0.0432
203035_s_at,PIAS3,protein inhibitor of activated STAT 3,0.831,3.467,0.00884
203038_at,PTPRK,"protein tyrosine phosphatase, receptor type K",0.843,7.434,0.00000656
203050_at,TP53BP1,tumor protein p53 binding protein 1,1.01,3.593,0.00711
203065_s_at,CAV1,caveolin 1,-2.011,7.924,0.00000277
203066_at,CHST15,carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15,0.718,3.762,0.00531
203082_at,BMS1,"BMS1, ribosome biogenesis factor",0.537,2.981,0.0201
203083_at,THBS2,thrombospondin 2,0.518,2.73,0.0305
203095_at,MTIF2,mitochondrial translational initiation factor 2,0.506,2.734,0.0304
203107_x_at,SNORA64///RPS2,"small nucleolar RNA, H/ACA box 64///ribosomal protein S2",0.542,3.225,0.00606
203120_at,TP53BP2,tumor protein p53 binding protein 2,0.792,2.948,0.0213
203124_s_at,SLC11A2,solute carrier family 11 member 2,1.149,4.721,0.000973
203132_at,RB1,RB transcriptional corepressor 1,0.608,2.982,0.0201
203138_at,HAT1,histone acetyltransferase 1,0.792,4.047,0.0032
203165_s_at,SLC33A1,solute carrier family 33 member 1,1.084,3.444,0.00924
203177_x_at,TFAM,"transcription factor A, mitochondrial",0.59,3.513,0.00815
203184_at,FBN2,fibrillin 2,0.678,2.681,0.033
203192_at,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),-0.476,2.469,0.0462
203213_at,CDK1,cyclin dependent kinase 1,1.366,7.079,0.0000126
203215_s_at,MYO6,myosin VI,1.539,7.447,0.00000642
203216_s_at,MYO6,myosin VI,0.908,5.38,0.00000642
203228_at,PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3,0.721,4.609,0.00118
203229_s_at,CLK2,CDC like kinase 2,0.838,4.603,0.00119
203253_s_at,PPIP5K2,diphosphoinositol pentakisphosphate kinase 2,0.818,3.862,0.00442
203296_s_at,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,-1.075,3.899,0.00416
203302_at,DCK,deoxycytidine kinase,0.582,2.798,0.0275
203313_s_at,TGIF1,TGFB induced factor homeobox 1,1.104,4.836,0.000779
203316_s_at,SNRPE,small nuclear ribonucleoprotein polypeptide E,0.746,5.199,0.000421
203323_at,CAV2,caveolin 2,-1.171,6.98,0.0000154
203324_s_at,CAV2,caveolin 2,-1.619,5.961,0.0000154
203336_s_at,ITGB1BP1,integrin subunit beta 1 binding protein 1,-1.088,4.345,0.000468
203337_x_at,ITGB1BP1,integrin subunit beta 1 binding protein 1,-1.472,5.139,0.000468
203355_s_at,PSD3,pleckstrin and Sec7 domain containing 3,1.084,3.211,0.0136
203358_s_at,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,1.471,8.095,0.00000204
203359_s_at,GJA9-MYCBP///MYCBP,GJA9-MYCBP readthrough///MYC binding protein,0.706,3.466,0.00886
203371_s_at,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,0.891,3.769,0.00525
203395_s_at,HES1,hes family bHLH transcription factor 1,0.511,2.701,0.0318
203396_at,PSMA4,proteasome subunit alpha 4,0.447,2.73,0.0305
203397_s_at,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3,1.594,6.649,0.0000283
203400_s_at,TF,transferrin,-1.497,5.511,0.00000051
203401_at,PRPS2,phosphoribosyl pyrophosphate synthetase 2,0.605,4.168,0.00262
203403_s_at,RNF6,ring finger protein 6,0.949,3.685,0.00607
203414_at,MMD,monocyte to macrophage differentiation associated,-0.868,5.593,0.00021
203429_s_at,SUCO,SUN domain containing ossification factor,0.629,4.2,0.00247
203432_at,TMPO,thymopoietin,1.089,4.659,0.00108
203435_s_at,MME,membrane metallo-endopeptidase,-0.906,6.127,0.000077
203447_at,PSMD5,"proteasome 26S subunit, non-ATPase 5",0.48,2.841,0.0257
203450_at,CBY1,"chibby family member 1, beta catenin antagonist",-0.553,2.848,0.0254
203453_at,SCNN1A,sodium channel epithelial 1 alpha subunit,0.797,2.86,0.0249
203476_at,TPBG,trophoblast glycoprotein,0.821,5.402,0.000291
203480_s_at,OTUD4,OTU deubiquitinase 4,0.426,2.801,0.0274
203484_at,SEC61G,Sec61 translocon gamma subunit,0.601,2.447,0.048
203497_at,MED1,mediator complex subunit 1,0.577,2.591,0.0383
203516_at,SNTA1,syntrophin alpha 1,-0.656,4.329,0.00193
203533_s_at,CUL5,cullin 5,0.583,2.719,0.0311
203548_s_at,LPL,lipoprotein lipase,-2.755,9.019,0.000000357
203549_s_at,LPL,lipoprotein lipase,-1.13,7.199,0.000000357
203569_s_at,OFD1,"OFD1, centriole and centriolar satellite protein",0.388,2.433,0.0489
203571_s_at,ADIRF,adipogenesis regulatory factor,-2.537,9.554,0.000000156
203605_at,SRP54,signal recognition particle 54,0.539,3.372,0.0104
203625_x_at,SKP2,"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase",0.713,2.434,0.0489
203627_at,IGF1R,insulin like growth factor 1 receptor,0.76,3.046,0.018
203637_s_at,MID1,midline 1,-0.496,2.814,0.0267
203642_s_at,COBLL1,cordon-bleu WH2 repeat protein like 1,-0.6,3.951,0.00379
203669_s_at,DGAT1,diacylglycerol O-acyltransferase 1,-0.682,2.876,0.0243
203675_at,NUCB2,nucleobindin 2,0.681,3.91,0.00408
203680_at,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta,-1.219,4.087,0.00302
203685_at,BCL2,"BCL2, apoptosis regulator",-0.531,2.717,0.0311
203693_s_at,E2F3,E2F transcription factor 3,1.267,6.657,0.0000279
203706_s_at,FZD7,frizzled class receptor 7,0.734,3.728,0.00562
203713_s_at,LLGL2,"LLGL2, scribble cell polarity complex component",0.632,2.656,0.0345
203714_s_at,TBCE,tubulin folding cofactor E,0.475,2.692,0.0324
203721_s_at,UTP18,"UTP18, small subunit processome component",0.83,6.231,0.0000633
203731_s_at,ZKSCAN5,zinc finger with KRAB and SCAN domains 5,0.59,3.306,0.0116
203738_at,C5orf22,chromosome 5 open reading frame 22,0.519,2.951,0.0213
203739_at,ZNF217,zinc finger protein 217,0.724,4.097,0.00296
203740_at,MPHOSPH6,M-phase phosphoprotein 6,0.933,4.923,0.000671
203743_s_at,TDG,thymine DNA glycosylase,0.82,5.664,0.000187
203744_at,HMGB3,high mobility group box 3,0.71,4.176,0.00259
203755_at,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,0.713,4.832,0.000784
203757_s_at,CEACAM6,carcinoembryonic antigen related cell adhesion molecule 6,0.616,2.831,0.01
203769_s_at,STS,"steroid sulfatase (microsomal), isozyme S",-1.059,4.132,0.00279
203775_at,SLC25A13,solute carrier family 25 member 13,0.844,4.104,0.00292
203780_at,MPZL2,myelin protein zero like 2,0.719,3.945,0.00382
203799_at,LY75-CD302///CD302///LY75,LY75-CD302 readthrough///CD302 molecule///lymphocyte antigen 75,-0.795,2.823,0.0264
203804_s_at,LUC7L3,LUC7 like 3 pre-mRNA splicing factor,0.526,3.878,0.0043
203812_at,SLIT3,slit guidance ligand 3,-1.119,8.04,0.00000223
203814_s_at,NQO2,NAD(P)H quinone dehydrogenase 2,-0.909,4.927,0.000666
203851_at,IGFBP6,insulin like growth factor binding protein 6,-1.142,4.754,0.000909
203853_s_at,GAB2,GRB2 associated binding protein 2,-1.039,8.277,0.00000145
203878_s_at,MMP11,matrix metallopeptidase 11,0.527,2.866,0.0247
203880_at,POPDC2///COX17,"popeye domain containing 2///COX17, cytochrome c oxidase copper chaperone",0.817,2.949,0.0213
203881_s_at,DMD,dystrophin,-1.106,5.515,0.00024
203893_at,AK6,adenylate kinase 6,0.62,2.767,0.029
203896_s_at,PLCB4,phospholipase C beta 4,0.565,2.61,0.0372
203901_at,TAB1,TGF-beta activated kinase 1 (MAP3K7) binding protein 1,0.819,2.709,0.0315
203917_at,CXADR,coxsackie virus and adenovirus receptor,1.475,8.239,0.00000155
203920_at,NR1H3,nuclear receptor subfamily 1 group H member 3,-0.58,2.669,0.0338
203947_at,CSTF3,cleavage stimulation factor subunit 3,0.448,2.739,0.0303
203962_s_at,NEBL,nebulette,0.705,4.559,0.00127
203980_at,FABP4,fatty acid binding protein 4,-1.715,8.018,0.00000232
203986_at,FAM47E-STBD1///FAM47E///STBD1,FAM47E-STBD1 readthrough///family with sequence similarity 47 member E///starch binding domain 1,-1.264,5.093,0.000503
203988_s_at,FUT8,fucosyltransferase 8,0.584,2.475,0.046
203992_s_at,KDM6A,lysine demethylase 6A,1.137,4.965,0.000623
204005_s_at,PAWR,pro-apoptotic WT1 regulator,0.605,3.857,0.00446
204018_x_at,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,-1.424,4.428,0.000000154
204019_s_at,SH3YL1,SH3 and SYLF domain containing 1,0.517,2.77,0.0288
204023_at,RFC4,replication factor C subunit 4,0.674,4.352,0.00186
204026_s_at,ZWINT,ZW10 interacting kinetochore protein,0.864,5.803,0.000145
204036_at,LPAR1,lysophosphatidic acid receptor 1,-0.534,2.947,0.0213
204039_at,CEBPA,CCAAT/enhancer binding protein alpha,-1.088,4.211,0.00242
204042_at,WASF3,WAS protein family member 3,-0.87,6.114,0.0000787
204058_at,ME1,malic enzyme 1,-0.557,2.444,0.0161
204059_s_at,ME1,malic enzyme 1,-0.636,3.116,0.0161
204064_at,THOC1,THO complex 1,0.61,3.382,0.0103
204068_at,STK3,serine/threonine kinase 3,0.979,2.953,0.0211
204070_at,RARRES3,retinoic acid receptor responder 3,0.933,5.386,0.0003
204079_at,TPST2,tyrosylprotein sulfotransferase 2,-0.6,3.478,0.00868
204092_s_at,AURKA,aurora kinase A,0.745,3.001,0.000345
204099_at,SMARCD3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3",0.543,2.626,0.0363
204107_at,NFYA,nuclear transcription factor Y subunit alpha,0.465,2.915,0.0226
204115_at,GNG11,G protein subunit gamma 11,-1.148,3.55,0.00766
204123_at,LIG3,DNA ligase 3,1.073,5.095,0.000502
204134_at,PDE2A,phosphodiesterase 2A,-1.186,7.513,0.00000569
204137_at,GPR137B,G protein-coupled receptor 137B,0.826,2.987,0.02
204144_s_at,PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q,0.938,3.556,0.00758
204146_at,RAD51AP1,RAD51 associated protein 1,1.462,3.246,0.0128
204151_x_at,AKR1C1,aldo-keto reductase family 1 member C1,-1.565,7.754,0.00000364
204154_at,CDO1,cysteine dioxygenase type 1,-0.6,3.278,0.0121
204159_at,CDKN2C,cyclin dependent kinase inhibitor 2C,-1.769,7.291,0.00000844
204162_at,NDC80,"NDC80, kinetochore complex component",1.739,7.255,0.00000904
204170_s_at,CKS2,CDC28 protein kinase regulatory subunit 2,1.001,5.381,0.000301
204223_at,PRELP,proline and arginine rich end leucine rich repeat protein,-1.537,7.563,0.0000052
204224_s_at,GCH1,GTP cyclohydrolase 1,1.205,5.046,0.000543
204243_at,RLF,rearranged L-myc fusion,0.421,2.975,0.0203
204244_s_at,DBF4,DBF4 zinc finger,0.498,2.51,0.0437
204251_s_at,CEP164,centrosomal protein 164,0.503,2.496,0.0445
204256_at,ELOVL6,ELOVL fatty acid elongase 6,0.384,2.611,0.0371
204259_at,MMP7,matrix metallopeptidase 7,0.529,2.748,0.0299
204266_s_at,CHKA,choline kinase alpha,0.845,2.731,0.0305
204271_s_at,EDNRB,endothelin receptor type B,-0.888,5.269,0.000376
204273_at,EDNRB,endothelin receptor type B,-1.113,3.544,0.000376
204276_at,TK2,"thymidine kinase 2, mitochondrial",-0.918,3.931,0.00391
204285_s_at,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,0.991,4.098,0.00295
204286_s_at,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,1.093,3.686,0.00295
204290_s_at,ALDH6A1,aldehyde dehydrogenase 6 family member A1,-0.924,4.057,0.00316
204291_at,ZNF518A,zinc finger protein 518A,0.579,2.784,0.0282
204297_at,PIK3C3,phosphatidylinositol 3-kinase catalytic subunit type 3,0.773,2.501,0.0442
204299_at,SRSF10,serine and arginine rich splicing factor 10,1.07,3.519,0.00808
204304_s_at,PROM1,prominin 1,0.652,2.742,0.0301
204318_s_at,GTSE1,G2 and S-phase expressed 1,0.629,3.106,0.0164
204320_at,COL11A1,collagen type XI alpha 1 chain,1.37,3.915,0.0000582
204326_x_at,MT1X,metallothionein 1X,-1.005,6.231,0.0000633
204330_s_at,MRPS12,mitochondrial ribosomal protein S12,0.888,2.713,0.0276
204337_at,RGS4,regulator of G-protein signaling 4,0.677,3.395,0.0101
204351_at,S100P,S100 calcium binding protein P,1.465,7.001,0.0000147
204352_at,TRAF5,TNF receptor associated factor 5,0.867,2.719,0.0311
204363_at,F3,"coagulation factor III, tissue factor",-0.953,5.557,0.000224
204388_s_at,MAOA,monoamine oxidase A,-1.951,11.033,8.33E-09
204389_at,MAOA,monoamine oxidase A,-0.677,3.167,8.33E-09
204413_at,TRAF2,TNF receptor associated factor 2,-0.621,3.155,0.015
204415_at,IFI6,interferon alpha inducible protein 6,1.312,5.451,0.000269
204416_x_at,APOC1,apolipoprotein C1,0.511,2.449,0.00724
204419_x_at,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1,-1.702,6.557,0.0000341
204421_s_at,FGF2,fibroblast growth factor 2,-0.578,3.081,0.0092
204422_s_at,FGF2,fibroblast growth factor 2,-1.171,3.448,0.0092
204424_s_at,LMO3,LIM domain only 3,-0.706,3.225,0.0132
204435_at,NUP58,nucleoporin 58,0.83,3.591,0.00714
204444_at,KIF11,kinesin family member 11,0.703,2.591,0.0383
204451_at,FZD1,frizzled class receptor 1,0.72,3.748,0.00544
204455_at,DST,dystonin,1.024,2.813,0.0268
204461_x_at,RAD1,RAD1 checkpoint DNA exonuclease,0.484,2.908,0.0144
204475_at,MMP1,matrix metallopeptidase 1,1.127,2.932,0.0219
204476_s_at,PC,pyruvate carboxylase,-0.473,2.616,0.0368
204482_at,CLDN5,claudin 5,-1.034,3.285,0.012
204485_s_at,TOM1L1,target of myb1 like 1 membrane trafficking protein,0.571,3.404,0.00988
204491_at,PDE4D,phosphodiesterase 4D,0.666,2.691,0.0325
204508_s_at,CA12,carbonic anhydrase 12,0.919,2.507,0.00315
204510_at,CDC7,cell division cycle 7,0.648,4.657,0.00108
204512_at,HIVEP1,human immunodeficiency virus type I enhancer binding protein 1,0.713,2.628,0.0362
204530_s_at,TOX,thymocyte selection associated high mobility group box,0.838,3.876,0.0043
204533_at,CXCL10,C-X-C motif chemokine ligand 10,0.586,3.076,0.0172
204537_s_at,MIR452///MIR224///GABRE,microRNA 452///microRNA 224///gamma-aminobutyric acid type A receptor epsilon subunit,-0.751,5.104,0.000495
204559_s_at,LSM7,"LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated",0.806,3.379,0.0103
204570_at,COX7A1,cytochrome c oxidase subunit 7A1,-2.12,7.903,0.00000286
204579_at,FGFR4,fibroblast growth factor receptor 4,0.487,2.424,0.0498
204589_at,NUAK1,NUAK family kinase 1,-0.792,3.724,0.00565
204623_at,TFF3,trefoil factor 3,1.116,3.799,0.00499
204641_at,NEK2,NIMA related kinase 2,0.688,3.511,0.00817
204642_at,S1PR1,sphingosine-1-phosphate receptor 1,-1.046,4.443,0.00157
204653_at,TFAP2A,transcription factor AP-2 alpha,1.09,6.671,0.0000273
204662_at,CCP110,centriolar coiled-coil protein 110,0.998,2.661,0.0342
204663_at,ME3,malic enzyme 3,-0.744,3.012,0.0191
204667_at,FOXA1,forkhead box A1,0.557,4.022,0.00335
204677_at,CDH5,cadherin 5,-1.039,4.517,0.00137
204709_s_at,KIF23,kinesin family member 23,0.747,2.648,0.0349
204715_at,PANX1,pannexin 1,0.539,2.649,0.0349
204719_at,ABCA8,ATP binding cassette subfamily A member 8,-2.599,8.439,0.00000107
204731_at,TGFBR3,transforming growth factor beta receptor 3,-1.486,6.145,0.0000753
204734_at,KRT15,keratin 15,0.954,2.594,0.0382
204735_at,PDE4A,phosphodiesterase 4A,-0.431,2.945,0.0214
204738_s_at,KRIT1,"KRIT1, ankyrin repeat containing",-0.717,3.149,0.0152
204754_at,HLF,"HLF, PAR bZIP transcription factor",-0.645,4.051,0.00319
204755_x_at,HLF,"HLF, PAR bZIP transcription factor",-0.623,2.486,0.00319
204767_s_at,FEN1,flap structure-specific endonuclease 1,0.694,4.114,0.00288
204773_at,IL11RA,interleukin 11 receptor subunit alpha,-1.151,4.445,0.00156
204798_at,MYB,"MYB proto-oncogene, transcription factor",1.038,4.611,0.00117
204822_at,TTK,TTK protein kinase,0.656,2.684,0.0328
204825_at,MELK,maternal embryonic leucine zipper kinase,2.199,9.439,0.000000181
204847_at,ZBTB11,zinc finger and BTB domain containing 11,0.551,2.535,0.0418
204848_x_at,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1,-1.024,5.559,0.0000341
204853_at,ORC2,origin recognition complex subunit 2,0.823,2.793,0.0277
204881_s_at,UGCG,UDP-glucose ceramide glucosyltransferase,0.583,2.693,0.0269
204894_s_at,AOC3,"amine oxidase, copper containing 3",-1.643,7.898,0.00000286
204900_x_at,SAP30,Sin3A associated protein 30,0.905,2.778,0.0284
204908_s_at,MIR8085///BCL3,microRNA 8085///B-cell CLL/lymphoma 3,1.279,3.778,0.00516
204942_s_at,ALDH3B2,aldehyde dehydrogenase 3 family member B2,0.742,3.644,0.00651
204955_at,SRPX,"sushi repeat containing protein, X-linked",-0.553,3.325,0.0113
204957_at,ORC5,origin recognition complex subunit 5,0.497,2.441,0.0484
204962_s_at,SLC35F6///CENPA,solute carrier family 35 member F6///centromere protein A,1.003,5.029,0.000554
204997_at,GPD1,glycerol-3-phosphate dehydrogenase 1,-2.015,8.728,0.000000579
205005_s_at,NMT2,N-myristoyltransferase 2,-0.562,3.25,0.0127
205006_s_at,NMT2,N-myristoyltransferase 2,-0.516,2.427,0.0127
205022_s_at,FOXN3,forkhead box N3,-1.791,7.948,0.00000264
205034_at,CCNE2,cyclin E2,1.018,4.306,0.00201
205047_s_at,ASNS,asparagine synthetase (glutamine-hydrolyzing),0.857,3.845,0.00457
205107_s_at,EFNA4,ephrin A4,0.715,3.141,0.0154
205133_s_at,HSPE1,heat shock protein family E (Hsp10) member 1,0.684,4.554,0.00129
205156_s_at,ASIC1,acid sensing ion channel subunit 1,-0.566,2.467,0.0464
205158_at,RNASE4,ribonuclease A family member 4,-0.907,2.473,0.00127
205167_s_at,CDC25C,cell division cycle 25C,0.736,3.127,0.0158
205200_at,EXOSC7///CLEC3B,exosome component 7///C-type lectin domain family 3 member B,-1.21,4.537,0.00132
205208_at,ALDH1L1,aldehyde dehydrogenase 1 family member L1,-1.283,4.138,0.00275
205209_at,ACVR1B,activin A receptor type 1B,0.543,2.49,0.0449
205220_at,HCAR3,hydroxycarboxylic acid receptor 3,-1.513,10.287,3.84E-08
205225_at,ESR1,estrogen receptor 1,0.587,2.598,0.0291
205235_s_at,KIF20B,kinesin family member 20B,0.64,2.733,0.0305
205241_at,SCO2,SCO2 cytochrome c oxidase assembly protein,0.751,2.454,0.0474
205242_at,CXCL13,C-X-C motif chemokine ligand 13,0.765,2.459,0.047
205267_at,POU2AF1,POU class 2 associating factor 1,0.78,3.598,0.00707
205269_at,LCP2,lymphocyte cytosolic protein 2,0.532,2.585,0.0386
205286_at,TFAP2C,transcription factor AP-2 gamma,0.485,3.104,0.0164
205290_s_at,BMP2,bone morphogenetic protein 2,-0.753,3.731,0.0056
205292_s_at,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,0.589,2.716,0.0311
205296_at,RBL1,RB transcriptional corepressor like 1,0.894,2.994,0.0198
205303_at,KCNJ8,potassium voltage-gated channel subfamily J member 8,-0.885,6.004,0.0000979
205306_x_at,KMO,kynurenine 3-monooxygenase (kynurenine 3-hydroxylase),0.551,2.551,0.0407
205339_at,STIL,SCL/TAL1 interrupting locus,0.639,4.859,0.000753
205357_s_at,AGTR1,angiotensin II receptor type 1,-0.623,3.074,0.0172
205376_at,INPP4B,inositol polyphosphate-4-phosphatase type II B,0.75,2.899,0.0233
205382_s_at,CFD,complement factor D,-3.118,9.178,0.000000292
205395_s_at,MRE11A,"MRE11 homolog A, double strand break repair nuclease",0.721,3.056,0.0177
205404_at,HSD11B1,hydroxysteroid 11-beta dehydrogenase 1,-0.754,3.434,0.0094
205420_at,PEX7,peroxisomal biogenesis factor 7,0.923,2.702,0.0318
205422_s_at,ITGBL1,integrin subunit beta like 1,0.676,2.982,0.0201
205451_at,FOXO4,forkhead box O4,-0.54,2.426,0.0497
205478_at,PPP1R1A,protein phosphatase 1 regulatory inhibitor subunit 1A,-3.122,14.262,4.72E-11
205479_s_at,PLAU,"plasminogen activator, urokinase",0.683,2.853,0.0251
205483_s_at,ISG15,ISG15 ubiquitin-like modifier,0.999,3.304,0.0116
205498_at,GHR,growth hormone receptor,-0.929,6.226,0.0000637
205559_s_at,PCSK5,proprotein convertase subtilisin/kexin type 5,-1.641,6.099,0.0000805
205560_at,PCSK5,proprotein convertase subtilisin/kexin type 5,-0.88,3.381,0.0000805
205588_s_at,FGFR1OP,FGFR1 oncogene partner,0.536,2.808,0.027
205603_s_at,DIAPH2,diaphanous related formin 2,-0.681,2.836,0.0259
205608_s_at,ANGPT1,angiopoietin 1,-0.492,3.127,0.000414
205609_at,ANGPT1,angiopoietin 1,-0.955,5.217,0.000414
205610_at,MYOM1,myomesin 1,-1.73,12.084,1.53E-09
205619_s_at,MEOX1,mesenchyme homeobox 1,-0.871,3.75,0.00543
205644_s_at,SNRPG,small nuclear ribonucleoprotein polypeptide G,0.818,5.202,0.000419
205655_at,MDM4,"MDM4, p53 regulator",0.604,2.46,0.047
205664_at,KIN,Kin17 DNA and RNA binding protein,0.627,2.963,0.0208
205709_s_at,CDS1,CDP-diacylglycerol synthase 1,1.397,7.571,0.00000516
205739_x_at,ZNF107,zinc finger protein 107,0.828,4.146,0.00272
205762_s_at,DUS4L,dihydrouridine synthase 4 like,0.806,3.742,0.0055
205763_s_at,DDX18,DEAD-box helicase 18,1.121,3.423,0.00958
205774_at,F12,coagulation factor XII,0.428,2.717,0.0311
205780_at,BIK,BCL2 interacting killer,0.417,2.502,0.0442
205792_at,WISP2,WNT1 inducible signaling pathway protein 2,-0.764,2.975,0.0203
205796_at,TCP11L1,t-complex 11 like 1,-0.876,3.275,0.0122
205807_s_at,TUFT1,tuftelin 1,0.491,2.529,0.0422
205812_s_at,TMED9,transmembrane p24 trafficking protein 9,0.545,2.963,0.0208
205824_at,HSPB2,heat shock protein family B (small) member 2,-1.279,9.252,0.00000026
205828_at,MMP3,matrix metallopeptidase 3,0.58,2.932,0.0219
205830_at,CLGN,calmegin,1.026,4.063,0.00314
205852_at,CDK5R2,cyclin dependent kinase 5 regulatory subunit 2,0.719,3.12,0.016
205863_at,S100A12,S100 calcium binding protein A12,-1.199,4.863,0.000748
205883_at,ZBTB16,zinc finger and BTB domain containing 16,-0.472,2.682,0.033
205890_s_at,UBD///GABBR1,ubiquitin D///gamma-aminobutyric acid type B receptor subunit 1,1.243,5.266,0.000378
205913_at,PLIN1,perilipin 1,-2.287,9.29,0.000000243
205916_at,S100A7,S100 calcium binding protein A7,0.976,2.592,0.0383
205932_s_at,MSX1,msh homeobox 1,-1.115,5.385,0.0003
205959_at,MMP13,matrix metallopeptidase 13,1.175,4.986,0.000601
205968_at,KCNS3,potassium voltage-gated channel modifier subfamily S member 3,1.364,7.838,0.00000319
205980_s_at,PRR5-ARHGAP8///ARHGAP8,PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8,0.711,3.499,0.00000033
205990_s_at,WNT5A,Wnt family member 5A,0.644,2.667,0.00859
206000_at,MEP1A,meprin A subunit alpha,-0.629,2.462,0.0469
206020_at,SOCS6,suppressor of cytokine signaling 6,0.668,3.067,0.0174
206030_at,ASPA,aspartoacylase,-1.705,7.314,0.00000813
206055_s_at,SNRPA1,small nuclear ribonucleoprotein polypeptide A',0.793,2.858,0.0123
206067_s_at,WT1,Wilms tumor 1,1.297,3.876,0.0043
206068_s_at,ACADL,"acyl-CoA dehydrogenase, long chain",-1.321,5.698,0.000175
206069_s_at,ACADL,"acyl-CoA dehydrogenase, long chain",-0.561,3.19,0.000175
206082_at,HCP5,HLA complex P5 (non-protein coding),0.714,3.085,0.0169
206093_x_at,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene),-1.538,7.646,0.0000045
206100_at,CPM,carboxypeptidase M,-0.936,4.754,0.000909
206101_at,ECM2,extracellular matrix protein 2,-0.744,3.765,0.00529
206201_s_at,MEOX2,mesenchyme homeobox 2,-2.34,6.693,0.0000262
206208_at,CA4,carbonic anhydrase 4,-0.785,3.379,0.0103
206209_s_at,CA4,carbonic anhydrase 4,-0.632,3.231,0.0103
206243_at,TIMP4,TIMP metallopeptidase inhibitor 4,-2.074,8.27,0.00000146
206245_s_at,IVNS1ABP,influenza virus NS1A binding protein,0.522,2.684,0.0000402
206247_at,MICB,MHC class I polypeptide-related sequence B,0.582,3.261,0.0124
206262_at,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",-0.758,2.877,0.0243
206295_at,IL18,interleukin 18,0.879,2.422,0.0499
206316_s_at,KNTC1,kinetochore associated 1,0.539,2.818,0.0266
206363_at,MAF,MAF bZIP transcription factor,-0.666,3.182,0.0143
206365_at,XCL1,X-C motif chemokine ligand 1,-0.792,2.507,0.0439
206378_at,SCGB2A2,secretoglobin family 2A member 2,1.055,2.794,0.0277
206385_s_at,ANK3,"ankyrin 3, node of Ranvier (ankyrin G)",1.448,6.737,0.0000243
206408_at,LRRTM2,leucine rich repeat transmembrane neuronal 2,-0.573,2.903,0.0232
206420_at,IGSF6,immunoglobulin superfamily member 6,0.556,2.49,0.0449
206477_s_at,NOVA2,NOVA alternative splicing regulator 2,0.586,2.523,0.0426
206488_s_at,CD36,CD36 molecule,-1.484,6.834,0.0000128
206496_at,FMO3,flavin containing monooxygenase 3,-0.668,3.34,0.0111
206538_at,MRAS,muscle RAS oncogene homolog,-0.46,2.503,0.0441
