ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
205421_at,2.87E-01,6.60E-02,-1.87,-4.7664,-5.48E-01,SLC22A3,solute carrier family 22 member 3
215930_s_at,2.87E-01,6.60E-02,1.87,-4.76668,3.53E-01,CTAGE5,"CTAGE family member 5, ER export factor"
214167_s_at,2.87E-01,6.60E-02,1.87,-4.76672,4.03E-01,RPLP0,ribosomal protein lateral stalk subunit P0
209652_s_at,2.87E-01,6.60E-02,-1.86,-4.76688,-3.20E-01,PGF,placental growth factor
219286_s_at,2.87E-01,6.60E-02,1.86,-4.767,3.47E-01,RBM15,RNA binding motif protein 15
221701_s_at,2.87E-01,6.60E-02,1.86,-4.76737,2.82E-01,STRA6,stimulated by retinoic acid 6
222169_x_at,2.87E-01,6.61E-02,1.86,-4.76763,5.06E-01,SH2D3A,SH2 domain containing 3A
200842_s_at,2.87E-01,6.61E-02,1.86,-4.76764,3.61E-01,EPRS,glutamyl-prolyl-tRNA synthetase
205321_at,2.87E-01,6.61E-02,1.86,-4.76797,3.83E-01,EIF2S3,eukaryotic translation initiation factor 2 subunit gamma
201986_at,2.87E-01,6.62E-02,1.86,-4.7689,2.95E-01,MED13,mediator complex subunit 13
204399_s_at,2.87E-01,6.62E-02,1.86,-4.76913,3.11E-01,EML2,echinoderm microtubule associated protein like 2
216023_at,2.87E-01,6.62E-02,1.86,-4.7693,3.87E-01,KDM4B,lysine demethylase 4B
216049_at,2.87E-01,6.62E-02,1.86,-4.76936,2.77E-01,RHOBTB3,Rho related BTB domain containing 3
203835_at,2.87E-01,6.62E-02,-1.86,-4.76973,-3.44E-01,LRRC32,leucine rich repeat containing 32
215292_s_at,2.87E-01,6.62E-02,-1.86,-4.76985,-3.09E-01,MKL1,megakaryoblastic leukemia (translocation) 1
220767_at,2.87E-01,6.62E-02,-1.86,-4.76991,-4.02E-01,,
202031_s_at,2.87E-01,6.62E-02,-1.86,-4.76992,-4.39E-01,WIPI2,"WD repeat domain, phosphoinositide interacting 2"
203153_at,2.87E-01,6.63E-02,1.86,-4.77019,6.38E-01,IFIT1,interferon induced protein with tetratricopeptide repeats 1
217933_s_at,2.87E-01,6.63E-02,1.86,-4.77036,3.80E-01,LAP3,leucine aminopeptidase 3
215366_at,2.88E-01,6.64E-02,-1.86,-4.77142,-2.86E-01,SNX13,sorting nexin 13
214024_s_at,2.88E-01,6.64E-02,1.86,-4.77222,2.68E-01,DGCR6L,DiGeorge syndrome critical region gene 6-like
209257_s_at,2.88E-01,6.64E-02,-1.86,-4.77242,-3.19E-01,SMC3,structural maintenance of chromosomes 3
221220_s_at,2.88E-01,6.65E-02,-1.86,-4.77276,-3.02E-01,SCYL2,SCY1 like pseudokinase 2
221075_s_at,2.88E-01,6.65E-02,1.86,-4.77287,3.58E-01,NCR2,natural cytotoxicity triggering receptor 2
215790_at,2.88E-01,6.66E-02,1.86,-4.77392,2.89E-01,AJAP1,adherens junctions associated protein 1
221254_s_at,2.88E-01,6.66E-02,-1.86,-4.7745,-2.71E-01,PITPNM3,PITPNM family member 3
200929_at,2.88E-01,6.66E-02,1.86,-4.77482,5.46E-01,TMED10,transmembrane p24 trafficking protein 10
204675_at,2.88E-01,6.67E-02,1.86,-4.7749,5.94E-01,SRD5A1,steroid 5 alpha-reductase 1
217280_x_at,2.88E-01,6.67E-02,1.86,-4.77498,2.82E-01,GABRA5,gamma-aminobutyric acid type A receptor alpha5 subunit
205051_s_at,2.89E-01,6.67E-02,1.86,-4.77576,5.23E-01,KIT,KIT proto-oncogene receptor tyrosine kinase
206720_at,2.89E-01,6.68E-02,-1.86,-4.77727,-2.56E-01,MGAT5,"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase"
204245_s_at,2.89E-01,6.69E-02,1.86,-4.77796,3.96E-01,RPP14,ribonuclease P/MRP subunit p14
217012_at,2.89E-01,6.69E-02,1.86,-4.77823,3.95E-01,,
212558_at,2.89E-01,6.70E-02,-1.86,-4.77866,-2.65E-01,SPRY1,sprouty RTK signaling antagonist 1
215299_x_at,2.89E-01,6.70E-02,-1.86,-4.77927,-3.99E-01,SULT1A1,sulfotransferase family 1A member 1
219059_s_at,2.90E-01,6.70E-02,-1.86,-4.77976,-4.37E-01,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1
208067_x_at,2.90E-01,6.70E-02,-1.86,-4.77977,-3.46E-01,UTY,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"
221102_s_at,2.90E-01,6.71E-02,1.86,-4.78011,2.97E-01,TRPM6,transient receptor potential cation channel subfamily M member 6
201862_s_at,2.90E-01,6.71E-02,1.86,-4.78012,2.96E-01,LRRFIP1,LRR binding FLII interacting protein 1
216982_x_at,2.90E-01,6.71E-02,-1.86,-4.78037,-4.83E-01,,
201814_at,2.90E-01,6.71E-02,-1.86,-4.78063,-2.27E-01,TBC1D5,TBC1 domain family member 5
216115_at,2.90E-01,6.72E-02,1.86,-4.78211,3.07E-01,NF1P9///NF1,neurofibromin 1 pseudogene 9///neurofibromin 1
218858_at,2.90E-01,6.73E-02,1.86,-4.78335,2.51E-01,DEPTOR,DEP domain containing MTOR-interacting protein
213918_s_at,2.91E-01,6.74E-02,1.86,-4.78381,4.61E-01,NIPBL,"NIPBL, cohesin loading factor"
216802_at,2.91E-01,6.74E-02,-1.86,-4.78409,-3.05E-01,,
206191_at,2.91E-01,6.74E-02,-1.86,-4.78421,-2.25E-01,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3
206737_at,2.91E-01,6.75E-02,-1.85,-4.78483,-2.38E-01,WNT11,Wnt family member 11
204141_at,2.91E-01,6.75E-02,-1.85,-4.78492,-6.29E-01,TUBB2A,tubulin beta 2A class IIa
210268_at,2.91E-01,6.75E-02,1.85,-4.78519,4.61E-01,NFX1,"nuclear transcription factor, X-box binding 1"
220619_at,2.91E-01,6.75E-02,1.85,-4.78556,5.20E-01,CHD7,chromodomain helicase DNA binding protein 7
215848_at,2.91E-01,6.75E-02,-1.85,-4.78585,-3.21E-01,SCAPER,S-phase cyclin A associated protein in the ER
205493_s_at,2.91E-01,6.76E-02,-1.85,-4.78622,-2.92E-01,DPYSL4,dihydropyrimidinase like 4
201832_s_at,2.91E-01,6.76E-02,1.85,-4.78674,4.11E-01,USO1,USO1 vesicle transport factor
200801_x_at,2.91E-01,6.77E-02,1.85,-4.78733,4.19E-01,ACTB,actin beta
219302_s_at,2.91E-01,6.77E-02,1.85,-4.78777,3.24E-01,CNTNAP2,contactin associated protein-like 2
204393_s_at,2.91E-01,6.77E-02,1.85,-4.78791,3.53E-01,ACPP,"acid phosphatase, prostate"
207927_at,2.91E-01,6.78E-02,1.85,-4.78831,2.81E-01,HTR7,5-hydroxytryptamine receptor 7
220475_at,2.91E-01,6.78E-02,-1.85,-4.78832,-3.62E-01,SLC28A3,solute carrier family 28 member 3
220810_at,2.92E-01,6.78E-02,-1.85,-4.78943,-4.59E-01,CLCA3P,"chloride channel accessory 3, pseudogene"
213695_at,2.92E-01,6.78E-02,-1.85,-4.78946,-4.16E-01,PON3,paraoxonase 3
217805_at,2.92E-01,6.79E-02,1.85,-4.78954,2.29E-01,ILF3,interleukin enhancer binding factor 3
206546_at,2.92E-01,6.79E-02,1.85,-4.78964,4.10E-01,SYCP2,synaptonemal complex protein 2
209478_at,2.92E-01,6.79E-02,-1.85,-4.78985,-2.17E-01,STRA13,stimulated by retinoic acid 13
212023_s_at,2.92E-01,6.79E-02,1.85,-4.79001,3.90E-01,MKI67,marker of proliferation Ki-67
220204_s_at,2.92E-01,6.79E-02,-1.85,-4.79029,-2.98E-01,BMP8A,bone morphogenetic protein 8a
215149_at,2.92E-01,6.80E-02,1.85,-4.79073,3.43E-01,AJAP1,adherens junctions associated protein 1
216636_at,2.92E-01,6.80E-02,-1.85,-4.79098,-4.03E-01,,
213223_at,2.92E-01,6.80E-02,-1.85,-4.79136,-2.73E-01,MIR6805///RPL28,microRNA 6805///ribosomal protein L28
207809_s_at,2.92E-01,6.80E-02,1.85,-4.79147,4.32E-01,ATP6AP1,ATPase H+ transporting accessory protein 1
201103_x_at,2.92E-01,6.81E-02,1.85,-4.79203,2.67E-01,NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF14,neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 14
221486_at,2.92E-01,6.82E-02,-1.85,-4.79331,-3.68E-01,ENSA,endosulfine alpha
222180_at,2.92E-01,6.82E-02,1.85,-4.79335,4.39E-01,,
211916_s_at,2.93E-01,6.82E-02,-1.85,-4.79396,-2.56E-01,MYO1A,myosin IA
214004_s_at,2.93E-01,6.82E-02,1.85,-4.79424,2.70E-01,VGLL4,vestigial like family member 4
203574_at,2.93E-01,6.83E-02,-1.85,-4.7943,-2.56E-01,NFIL3,"nuclear factor, interleukin 3 regulated"
213030_s_at,2.93E-01,6.83E-02,-1.85,-4.79438,-3.90E-01,PLXNA2,plexin A2
212032_s_at,2.93E-01,6.83E-02,1.85,-4.79463,3.74E-01,PTOV1,prostate tumor overexpressed 1
209618_at,2.93E-01,6.83E-02,1.85,-4.79483,3.70E-01,CTNND2,catenin delta 2
204114_at,2.93E-01,6.83E-02,-1.85,-4.79495,-5.37E-01,NID2,nidogen 2
213688_at,2.93E-01,6.83E-02,-1.85,-4.7953,-3.43E-01,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
211238_at,2.93E-01,6.83E-02,1.85,-4.79544,2.39E-01,ADAM7,ADAM metallopeptidase domain 7
202773_s_at,2.93E-01,6.84E-02,-1.85,-4.79562,-2.79E-01,SFSWAP,splicing factor SWAP homolog
201294_s_at,2.93E-01,6.84E-02,1.85,-4.79647,4.75E-01,WSB1,WD repeat and SOCS box containing 1
220904_at,2.93E-01,6.85E-02,-1.85,-4.79692,-3.55E-01,LINC00574,long intergenic non-protein coding RNA 574
201352_at,2.93E-01,6.86E-02,1.85,-4.79814,3.25E-01,YME1L1,YME1 like 1 ATPase
218980_at,2.93E-01,6.86E-02,1.85,-4.7982,3.30E-01,FHOD3,formin homology 2 domain containing 3
209311_at,2.93E-01,6.86E-02,-1.85,-4.79842,-4.97E-01,BCL2L2,BCL2 like 2
215029_at,2.93E-01,6.86E-02,1.85,-4.79868,4.46E-01,,
202672_s_at,2.94E-01,6.87E-02,-1.85,-4.79948,-3.39E-01,ATF3,activating transcription factor 3
219553_at,2.94E-01,6.87E-02,1.85,-4.79958,3.00E-01,NME7,NME/NM23 family member 7
205981_s_at,2.94E-01,6.87E-02,-1.85,-4.79987,-2.38E-01,ING2,inhibitor of growth family member 2
201314_at,2.94E-01,6.87E-02,1.85,-4.7999,3.80E-01,STK25,serine/threonine kinase 25
211339_s_at,2.94E-01,6.87E-02,1.85,-4.79999,2.65E-01,ITK,IL2 inducible T-cell kinase
220363_s_at,2.94E-01,6.87E-02,1.85,-4.80024,3.79E-01,ELMO2,engulfment and cell motility 2
209019_s_at,2.94E-01,6.89E-02,-1.85,-4.80179,-3.26E-01,PINK1,PTEN induced putative kinase 1
215199_at,2.94E-01,6.89E-02,1.84,-4.80239,3.42E-01,CALD1,caldesmon 1
214648_at,2.95E-01,6.90E-02,1.84,-4.80319,4.27E-01,GPX5,glutathione peroxidase 5
207812_s_at,2.95E-01,6.90E-02,1.84,-4.80359,3.94E-01,GORASP2,golgi reassembly stacking protein 2
218400_at,2.95E-01,6.90E-02,1.84,-4.80365,3.52E-01,OAS3,2'-5'-oligoadenylate synthetase 3
219625_s_at,2.95E-01,6.90E-02,-1.84,-4.80368,-2.63E-01,COL4A3BP,collagen type IV alpha 3 binding protein
214522_x_at,2.95E-01,6.91E-02,1.84,-4.80416,2.92E-01,HIST1H3D///HIST1H2AD,"histone cluster 1, H3d///histone cluster 1, H2ad"
208063_s_at,2.95E-01,6.91E-02,1.84,-4.80418,4.12E-01,CAPN9,calpain 9
211320_s_at,2.95E-01,6.91E-02,1.84,-4.80437,3.22E-01,PTPRU,"protein tyrosine phosphatase, receptor type U"
202789_at,2.95E-01,6.91E-02,1.84,-4.80438,3.65E-01,PLCG1,phospholipase C gamma 1
206178_at,2.95E-01,6.92E-02,-1.84,-4.80515,-2.79E-01,PLA2G5,phospholipase A2 group V
216455_at,2.95E-01,6.92E-02,1.84,-4.80554,3.59E-01,LOC101927181,uncharacterized LOC101927181
218916_at,2.95E-01,6.92E-02,1.84,-4.80567,2.94E-01,ZNF768///ZNF747,zinc finger protein 768///zinc finger protein 747
210969_at,2.95E-01,6.92E-02,1.84,-4.80581,2.84E-01,PKN2,protein kinase N2
216915_s_at,2.95E-01,6.92E-02,1.84,-4.80602,4.34E-01,PTPN12,"protein tyrosine phosphatase, non-receptor type 12"
215609_at,2.95E-01,6.92E-02,1.84,-4.80615,2.41E-01,,
209538_at,2.95E-01,6.93E-02,-1.84,-4.80666,-3.51E-01,ZNF32,zinc finger protein 32
221117_at,2.95E-01,6.94E-02,-1.84,-4.8075,-2.95E-01,,
205722_s_at,2.95E-01,6.94E-02,-1.84,-4.80763,-2.65E-01,GFRA2,GDNF family receptor alpha 2
221776_s_at,2.95E-01,6.94E-02,1.84,-4.80807,4.74E-01,BRD7,bromodomain containing 7
202021_x_at,2.95E-01,6.94E-02,-1.84,-4.80845,-4.95E-01,EIF1,eukaryotic translation initiation factor 1
219512_at,2.95E-01,6.95E-02,1.84,-4.80871,2.85E-01,DSN1,"DSN1 homolog, MIS12 kinetochore complex component"
214226_at,2.95E-01,6.95E-02,-1.84,-4.80877,-3.70E-01,PRSS53,"protease, serine 53"
203415_at,2.96E-01,6.95E-02,1.84,-4.80928,2.75E-01,PDCD6,programmed cell death 6
215929_at,2.96E-01,6.95E-02,-1.84,-4.8093,-3.36E-01,LINC00837,long intergenic non-protein coding RNA 837
206643_at,2.96E-01,6.96E-02,1.84,-4.81024,3.23E-01,HAL,histidine ammonia-lyase
219579_at,2.96E-01,6.96E-02,1.84,-4.81085,2.64E-01,RAB3IL1,RAB3A interacting protein like 1
219164_s_at,2.96E-01,6.97E-02,1.84,-4.81093,3.29E-01,ATG2B,autophagy related 2B
207561_s_at,2.96E-01,6.98E-02,1.84,-4.81208,2.92E-01,ABCB8///ASIC3,ATP binding cassette subfamily B member 8///acid sensing ion channel subunit 3
219620_x_at,2.96E-01,6.98E-02,-1.84,-4.81217,-4.05E-01,TOR4A,torsin family 4 member A
200773_x_at,2.96E-01,6.98E-02,1.84,-4.81242,2.17E-01,PTMA,"prothymosin, alpha"
213811_x_at,2.97E-01,6.99E-02,1.84,-4.8133,4.15E-01,TCF3,transcription factor 3
217387_at,2.97E-01,6.99E-02,1.84,-4.81409,3.77E-01,CAPN6,calpain 6
211528_x_at,2.97E-01,6.99E-02,1.84,-4.81427,3.62E-01,HLA-G,"major histocompatibility complex, class I, G"
201891_s_at,2.97E-01,6.99E-02,1.84,-4.8143,2.37E-01,B2M,beta-2-microglobulin
201257_x_at,2.97E-01,6.99E-02,1.84,-4.8143,2.24E-01,SNORD73A///RPS3A,"small nucleolar RNA, C/D box 73A///ribosomal protein S3A"
208210_at,2.97E-01,7.00E-02,-1.84,-4.81438,-3.22E-01,MAS1,"MAS1 proto-oncogene, G protein-coupled receptor"
209853_s_at,2.97E-01,7.00E-02,-1.84,-4.81523,-3.02E-01,PSME3,proteasome activator subunit 3
215264_at,2.97E-01,7.00E-02,-1.84,-4.81542,-2.57E-01,EMX1,empty spiracles homeobox 1
211013_x_at,2.97E-01,7.01E-02,1.84,-4.81556,2.31E-01,PML,promyelocytic leukemia
208891_at,2.97E-01,7.01E-02,-1.84,-4.81636,-3.44E-01,DUSP6,dual specificity phosphatase 6
209469_at,2.97E-01,7.01E-02,1.84,-4.81652,4.86E-01,GPM6A,glycoprotein M6A
214174_s_at,2.97E-01,7.01E-02,1.84,-4.81666,4.13E-01,PDLIM4,PDZ and LIM domain 4
201557_at,2.97E-01,7.01E-02,1.84,-4.81667,2.69E-01,VAMP2,vesicle associated membrane protein 2
209431_s_at,2.97E-01,7.02E-02,1.84,-4.81768,3.26E-01,PATZ1,POZ/BTB and AT hook containing zinc finger 1
205487_s_at,2.97E-01,7.02E-02,1.84,-4.8178,2.84E-01,VGLL1,vestigial like family member 1
203776_at,2.98E-01,7.03E-02,1.84,-4.81871,3.58E-01,GPKOW,G-patch domain and KOW motifs
200632_s_at,2.98E-01,7.03E-02,-1.84,-4.819,-3.83E-01,NDRG1,N-myc downstream regulated 1
202880_s_at,2.98E-01,7.04E-02,1.84,-4.81901,3.59E-01,CYTH1,cytohesin 1
202267_at,2.98E-01,7.04E-02,1.83,-4.81941,3.56E-01,LAMC2,laminin subunit gamma 2
215964_at,2.98E-01,7.04E-02,-1.83,-4.81992,-3.21E-01,,
204125_at,2.98E-01,7.04E-02,-1.83,-4.81993,-2.88E-01,NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1
203820_s_at,2.98E-01,7.05E-02,1.83,-4.82107,2.68E-01,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3
220821_at,2.98E-01,7.06E-02,1.83,-4.82163,3.84E-01,GALR1,galanin receptor 1
212424_at,2.98E-01,7.06E-02,1.83,-4.82168,2.96E-01,PDCD11,programmed cell death 11
219457_s_at,2.98E-01,7.06E-02,1.83,-4.82195,4.02E-01,RIN3,Ras and Rab interactor 3
219275_at,2.98E-01,7.06E-02,1.83,-4.82209,3.84E-01,PDCD5,programmed cell death 5
218215_s_at,2.99E-01,7.07E-02,-1.83,-4.82317,-3.78E-01,NR1H2,nuclear receptor subfamily 1 group H member 2
40612_at,2.99E-01,7.07E-02,1.83,-4.82327,2.60E-01,DOPEY1,dopey family member 1
220470_at,2.99E-01,7.08E-02,-1.83,-4.82437,-3.30E-01,BET1L,Bet1 golgi vesicular membrane trafficking protein like
217703_x_at,2.99E-01,7.08E-02,1.83,-4.82442,4.25E-01,,
207447_s_at,2.99E-01,7.09E-02,1.83,-4.82479,3.37E-01,MGAT4C,MGAT4 family member C
206683_at,2.99E-01,7.09E-02,1.83,-4.82481,3.82E-01,ZNF165,zinc finger protein 165
215055_at,2.99E-01,7.09E-02,-1.83,-4.82506,-2.31E-01,B3GNTL1,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1"
204183_s_at,2.99E-01,7.09E-02,-1.83,-4.82546,-2.58E-01,GRK3,G protein-coupled receptor kinase 3
220330_s_at,2.99E-01,7.10E-02,1.83,-4.82658,4.10E-01,SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1"
218689_at,3.00E-01,7.11E-02,1.83,-4.82715,2.56E-01,FANCF,Fanconi anemia complementation group F
208064_s_at,3.00E-01,7.11E-02,-1.83,-4.82766,-4.23E-01,ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3"
221794_at,3.00E-01,7.11E-02,-1.83,-4.82786,-2.49E-01,DOCK6,dedicator of cytokinesis 6
214845_s_at,3.00E-01,7.11E-02,1.83,-4.82814,3.74E-01,CALU,calumenin
203052_at,3.00E-01,7.12E-02,1.83,-4.82857,3.12E-01,C2,complement component 2
208325_s_at,3.00E-01,7.12E-02,1.83,-4.82863,3.86E-01,AKAP13,A-kinase anchoring protein 13
219025_at,3.00E-01,7.12E-02,-1.83,-4.82876,-2.63E-01,CD248,CD248 molecule
218172_s_at,3.00E-01,7.12E-02,1.83,-4.82895,6.67E-01,DERL1,derlin 1
211817_s_at,3.00E-01,7.12E-02,-1.83,-4.82912,-2.78E-01,KCNJ5,potassium voltage-gated channel subfamily J member 5
206429_at,3.00E-01,7.12E-02,-1.83,-4.82922,-4.16E-01,F2RL1,F2R like trypsin receptor 1
205233_s_at,3.00E-01,7.13E-02,1.83,-4.82946,4.32E-01,PAFAH2,platelet activating factor acetylhydrolase 2
215651_at,3.00E-01,7.13E-02,1.83,-4.83045,2.97E-01,,
205821_at,3.00E-01,7.14E-02,-1.83,-4.83078,-3.20E-01,KLRC4-KLRK1///KLRK1,KLRC4-KLRK1 readthrough///killer cell lectin like receptor K1
208749_x_at,3.00E-01,7.14E-02,1.83,-4.83082,2.70E-01,FLOT1,flotillin 1
205940_at,3.01E-01,7.15E-02,1.83,-4.83195,3.40E-01,MYH3,"myosin, heavy chain 3, skeletal muscle, embryonic"
201139_s_at,3.01E-01,7.15E-02,-1.83,-4.83196,-2.46E-01,SSB,Sjogren syndrome antigen B
206511_s_at,3.01E-01,7.15E-02,1.83,-4.832,2.50E-01,SIX2,SIX homeobox 2
207157_s_at,3.01E-01,7.15E-02,1.83,-4.83209,4.07E-01,GNG5,G protein subunit gamma 5
200735_x_at,3.01E-01,7.15E-02,1.83,-4.83245,3.17E-01,NACA,nascent polypeptide-associated complex alpha subunit
203448_s_at,3.01E-01,7.16E-02,1.83,-4.83289,3.97E-01,TERF1,telomeric repeat binding factor 1
202702_at,3.01E-01,7.16E-02,1.83,-4.83291,2.91E-01,TRIM26,tripartite motif containing 26
216494_at,3.01E-01,7.17E-02,1.83,-4.834,4.74E-01,,
200700_s_at,3.01E-01,7.17E-02,1.83,-4.83424,2.94E-01,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2
201849_at,3.01E-01,7.17E-02,-1.83,-4.83504,-4.85E-01,BNIP3,BCL2 interacting protein 3
220373_at,3.01E-01,7.18E-02,-1.83,-4.83598,-3.69E-01,DCHS2,dachsous cadherin-related 2
222293_at,3.01E-01,7.18E-02,1.83,-4.83603,3.67E-01,CADM4,cell adhesion molecule 4
217480_x_at,3.01E-01,7.18E-02,1.83,-4.83605,3.80E-01,IGKV1OR2-118,immunoglobulin kappa variable 1/OR2-118 (pseudogene)
202958_at,3.01E-01,7.19E-02,1.83,-4.83619,3.02E-01,PTPN9,"protein tyrosine phosphatase, non-receptor type 9"
205804_s_at,3.01E-01,7.19E-02,1.83,-4.83621,3.31E-01,TRAF3IP3,TRAF3 interacting protein 3
211536_x_at,3.01E-01,7.19E-02,-1.83,-4.83648,-2.39E-01,MAP3K7,mitogen-activated protein kinase kinase kinase 7
210263_at,3.01E-01,7.19E-02,-1.83,-4.83656,-3.07E-01,KCNF1,potassium voltage-gated channel modifier subfamily F member 1
200007_at,3.02E-01,7.20E-02,1.82,-4.83775,2.33E-01,SRP14,signal recognition particle 14
201424_s_at,3.02E-01,7.20E-02,1.82,-4.83793,6.33E-01,CUL4A,cullin 4A
217988_at,3.02E-01,7.20E-02,1.82,-4.83807,2.70E-01,CCNB1IP1,cyclin B1 interacting protein 1
205788_s_at,3.02E-01,7.20E-02,1.82,-4.8381,2.62E-01,LOC441155///ZC3H11A,zinc finger CCCH-type domain-containing-like///zinc finger CCCH-type containing 11A
201271_s_at,3.02E-01,7.21E-02,1.82,-4.8387,3.14E-01,RALY,RALY heterogeneous nuclear ribonucleoprotein
207427_at,3.02E-01,7.21E-02,-1.82,-4.83877,-4.33E-01,ACR,acrosin
220757_s_at,3.02E-01,7.21E-02,-1.82,-4.8388,-3.59E-01,MIR4746///UBXN6,microRNA 4746///UBX domain protein 6
210194_at,3.02E-01,7.21E-02,-1.82,-4.83889,-3.33E-01,PLA2R1,phospholipase A2 receptor 1
207526_s_at,3.02E-01,7.21E-02,-1.82,-4.83899,-2.92E-01,IL1RL1,interleukin 1 receptor like 1
206389_s_at,3.02E-01,7.21E-02,-1.82,-4.8394,-2.26E-01,PDE3A,phosphodiesterase 3A
206226_at,3.02E-01,7.21E-02,-1.82,-4.83952,-2.26E-01,HRG,histidine rich glycoprotein
210322_x_at,3.02E-01,7.22E-02,1.82,-4.83979,3.69E-01,UTY,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"
200075_s_at,3.02E-01,7.22E-02,1.82,-4.84025,5.03E-01,GUK1,guanylate kinase 1
204496_at,3.02E-01,7.22E-02,1.82,-4.84058,2.60E-01,STRN3,striatin 3
209055_s_at,3.02E-01,7.23E-02,1.82,-4.84095,2.82E-01,CDC5L,cell division cycle 5 like
200975_at,3.02E-01,7.23E-02,1.82,-4.84115,2.14E-01,PPT1,palmitoyl-protein thioesterase 1
216529_at,3.02E-01,7.23E-02,1.82,-4.84145,3.51E-01,,
210786_s_at,3.02E-01,7.23E-02,1.82,-4.84159,3.45E-01,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
203915_at,3.02E-01,7.24E-02,1.82,-4.84202,2.54E-01,CXCL9,C-X-C motif chemokine ligand 9
217913_at,3.02E-01,7.24E-02,-1.82,-4.84208,-2.62E-01,VPS4A,vacuolar protein sorting 4 homolog A
204040_at,3.02E-01,7.24E-02,-1.82,-4.84232,-3.55E-01,RNF144A,ring finger protein 144A
209530_at,3.02E-01,7.24E-02,1.82,-4.84261,3.76E-01,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3
202653_s_at,3.03E-01,7.25E-02,1.82,-4.84344,2.46E-01,MARCH7,membrane associated ring-CH-type finger 7
217468_at,3.03E-01,7.25E-02,-1.82,-4.84358,-3.68E-01,CYP2D6,cytochrome P450 family 2 subfamily D member 6
202230_s_at,3.03E-01,7.26E-02,1.82,-4.84415,2.57E-01,CHERP,calcium homeostasis endoplasmic reticulum protein
219112_at,3.03E-01,7.26E-02,1.82,-4.84442,2.94E-01,RAPGEF6,Rap guanine nucleotide exchange factor 6
218073_s_at,3.03E-01,7.26E-02,-1.82,-4.84496,-2.74E-01,NDC1,NDC1 transmembrane nucleoporin
210316_at,3.03E-01,7.27E-02,-1.82,-4.84522,-2.90E-01,FLT4,fms related tyrosine kinase 4
218821_at,3.03E-01,7.27E-02,-1.82,-4.84551,-4.11E-01,LOC100652930///STX16-NPEPL1///NPEPL1,uncharacterized LOC100652930///STX16-NPEPL1 readthrough (NMD candidate)///aminopeptidase-like 1
201019_s_at,3.03E-01,7.27E-02,1.82,-4.84566,2.42E-01,EIF1AX,"eukaryotic translation initiation factor 1A, X-linked"
209380_s_at,3.03E-01,7.27E-02,1.82,-4.8459,2.52E-01,ABCC5,ATP binding cassette subfamily C member 5
209039_x_at,3.03E-01,7.28E-02,-1.82,-4.84697,-4.17E-01,EHD1,EH domain containing 1
209961_s_at,3.04E-01,7.29E-02,1.82,-4.84783,4.38E-01,HGF,hepatocyte growth factor
210192_at,3.04E-01,7.29E-02,-1.82,-4.84831,-4.37E-01,ATP8A1,ATPase phospholipid transporting 8A1
202691_at,3.04E-01,7.29E-02,1.82,-4.84838,2.65E-01,SNRPD1,small nuclear ribonucleoprotein D1 polypeptide
212695_at,3.04E-01,7.30E-02,-1.82,-4.84856,-2.69E-01,CRY2,cryptochrome circadian clock 2
202372_at,3.04E-01,7.30E-02,1.82,-4.84897,2.94E-01,RAB3GAP2///AURKAPS1,RAB3 GTPase activating non-catalytic protein subunit 2///aurora kinase A pseudogene 1
221728_x_at,3.04E-01,7.30E-02,1.82,-4.84913,2.97E-01,XIST,X inactive specific transcript (non-protein coding)
210928_at,3.04E-01,7.31E-02,1.82,-4.85032,3.75E-01,,
209413_at,3.04E-01,7.31E-02,-1.82,-4.85057,-3.66E-01,B4GALT2,"beta-1,4-galactosyltransferase 2"
209659_s_at,3.04E-01,7.31E-02,1.82,-4.85057,4.24E-01,CDC16,cell division cycle 16
218795_at,3.04E-01,7.31E-02,1.82,-4.8506,2.70E-01,ACP6,"acid phosphatase 6, lysophosphatidic"
210783_x_at,3.04E-01,7.31E-02,-1.82,-4.85067,-4.70E-01,CLEC11A,C-type lectin domain family 11 member A
221034_s_at,3.05E-01,7.33E-02,-1.82,-4.85231,-4.11E-01,TEX13B,testis expressed 13B
